ID;OPERACAO;PAGTO;CLIENTE;DOCUMENTO;SACADO;DOCUMENTO;UA;PRODUTO;SIGLA;NUMERO;CADASTRO;EMISSAO;VENCIMENTO;VENCIMENTO EFETIVO;VENCIDO;SITUACAO;DATA SITUACAO;MANIFESTO;DATA MANIFESTO;VALOR NOMINAL;DESCONTO ABATIMENTO;VALOR LIQUIDO;VALOR PAGO;SALDO DEVEDOR;OSCILACAO;TAXA;DESAGIO;CUSTO;RECEITA;TARIFAS OPERACAO;PRAZO REAL;PRAZO COBRADO;GERENTE;SUPERINTENDENTE;BANCO COBRADOR
30884;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 24";03/01/2022;03/01/2022;03/02/2022;03/02/2022;Nao;Recomprado;03/02/2022;Sem Atuacao;03/01/2022;9.595,87;0,00;9.595,87;9.595,87;9.595,87;0,00;0,00000;0,00;0,00;0,00;0,00;31,00;31,00;;Douglas Floriano;341/2980/336990;
30885;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 27";03/01/2022;03/01/2022;07/02/2022;07/02/2022;Nao;Recomprado;07/02/2022;Sem Atuacao;03/01/2022;52.000,00;0,00;52.000,00;52.000,00;52.000,00;0,00;0,00000;0,00;0,00;0,00;0,00;35,00;35,00;;Douglas Floriano;341/2980/336990;
30886;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 28";03/01/2022;03/01/2022;10/02/2022;10/02/2022;Nao;Recomprado;07/02/2022;Sem Atuacao;03/01/2022;36,99;0,00;36,99;36,99;36,99;0,00;0,00000;0,00;0,00;0,00;0,00;38,00;38,00;;Douglas Floriano;341/2980/336990;
30887;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 29";03/01/2022;03/01/2022;11/02/2022;11/02/2022;Nao;Recomprado;11/02/2022;Sem Atuacao;03/01/2022;88.594,34;0,00;88.594,34;88.594,34;88.594,34;0,00;0,00000;0,00;0,00;0,00;0,00;39,00;39,00;;Douglas Floriano;341/2980/336990;
30888;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 31";03/01/2022;03/01/2022;15/02/2022;15/02/2022;Nao;Recomprado;15/02/2022;Sem Atuacao;03/01/2022;87.300,00;0,00;87.300,00;87.300,00;87.300,00;0,00;0,00000;0,00;0,00;0,00;0,00;43,00;43,00;;Douglas Floriano;341/2980/336990;
30889;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 32";03/01/2022;03/01/2022;17/02/2022;17/02/2022;Nao;Recomprado;17/02/2022;Sem Atuacao;03/01/2022;55.681,78;0,00;55.681,78;55.681,78;55.681,78;0,00;0,00000;0,00;0,00;0,00;0,00;45,00;45,00;;Douglas Floriano;341/2980/336990;
30878;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 33";03/01/2022;03/01/2022;18/02/2022;18/02/2022;Nao;Recomprado;18/02/2022;Sem Atuacao;03/01/2022;49.317,75;0,00;49.317,75;49.317,75;49.317,75;0,00;0,00000;0,00;0,00;0,00;0,00;46,00;46,00;;Douglas Floriano;341/2980/336990;
30879;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 34";03/01/2022;03/01/2022;21/02/2022;21/02/2022;Nao;Recomprado;21/02/2022;Sem Atuacao;03/01/2022;169.951,47;0,00;169.951,47;169.951,47;169.951,47;0,00;0,00000;0,00;0,00;0,00;0,00;49,00;49,00;;Douglas Floriano;341/2980/336990;
23989;2713;;Mineradora Vale Do Pajeu Ltda;="007387064000136";Marilton Dos Santos Silva;="73115215568";Lepta Securitizadora;FAT;DS;="27175/01";11/02/2022;11/02/2022;21/02/2022;21/02/2022;Nao;Liquidado Normalmente;23/02/2022;Sem Atuacao;11/02/2022;8.800,00;0,00;8.800,00;8.981,86;0,00;181,86;0,00000;0,00;0,00;0,00;0,00;10,00;10,00;;;341/2980/336990;
30880;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 35";03/01/2022;03/01/2022;23/02/2022;23/02/2022;Nao;Recomprado;23/02/2022;Sem Atuacao;03/01/2022;140.249,00;0,00;140.249,00;140.249,00;140.249,00;0,00;0,00000;0,00;0,00;0,00;0,00;51,00;51,00;;Douglas Floriano;341/2980/336990;
